[Lab2] Flow matching on symmetric GMM ...

  0%|          | 0/5000 [00:00<?, ?it/s]
loss: 103.8338:   0%|          | 0/5000 [00:00<?, ?it/s]
loss: 22.7633:   4%|¨†         | 187/5000 [00:03<02:16, 35.22it/s]
loss: 21.7680:   4%|¨†         | 187/5000 [00:03<02:16, 35.22it/s]
loss: 23.9549:   4%|¨†         | 187/5000 [00:03<02:16, 35.22it/s]
loss: 24.6423:   4%|¨†         | 187/5000 [00:03<02:16, 35.22it/s]
loss: 23.4148:   4%|¨†         | 187/5000 [00:03<02:16, 35.22it/s]
loss: 21.5571:   4%|¨†         | 187/5000 [00:03<02:16, 35.22it/s]
loss: 21.5571:   4%|¨…         | 192/5000 [00:03<02:04, 38.60it/s]
loss: 27.4520:   4%|¨…         | 192/5000 [00:03<02:04, 38.60it/s]
loss: 23.9943:   4%|¨…         | 192/5000 [00:03<02:04, 38.60it/s]
loss: 22.0667:   4%|¨…         | 192/5000 [00:03<02:04, 38.60it/s]
loss: 23.9144:   4%|¨…         | 192/5000 [00:03<02:04, 38.60it/s]
loss: 25.9185:   4%|¨…         | 192/5000 [00:03<02:04, 38.60it/s]
loss: 25.9185:   4%|¨…         | 197/5000 [00:03<01:59, 40.04it/s]
loss: 27.4006:   4%|¨…         | 197/5000 [00:03<01:59, 40.04it/s]
loss: 22.7397:   4%|¨…         | 197/5000 [00:03<01:59, 40.04it/s]
loss: 24.2493:   4%|¨…         | 197/5000 [00:03<01:59, 40.04it/s]
loss: 22.7173:   4%|¨…         | 197/5000 [00:03<01:59, 40.04it/s]
loss: 23.8318:   4%|¨…         | 197/5000 [00:03<01:59, 40.04it/s]
loss: 23.8318:   4%|¨…         | 202/5000 [00:03<02:19, 34.39it/s]
loss: 25.7056:   4%|¨…         | 202/5000 [00:03<02:19, 34.39it/s]
loss: 166.9084:   4%|¨…         | 202/5000 [00:04<02:19, 34.39it/s]
loss: 25.2509:   4%|¨…         | 202/5000 [00:04<02:19, 34.39it/s] 
loss: 28.9022:   4%|¨…         | 202/5000 [00:04<02:19, 34.39it/s]
loss: 28.9022:   4%|¨…         | 206/5000 [00:04<02:33, 31.16it/s]
loss: 21.5749:   4%|¨…         | 206/5000 [00:04<02:33, 31.16it/s]
loss: 20.8278:   4%|¨…         | 206/5000 [00:04<02:33, 31.16it/s]
loss: 25.0167:   4%|¨…         | 206/5000 [00:04<02:33, 31.16it/s]
loss: 21.7176:   4%|¨…         | 206/5000 [00:04<02:33, 31.16it/s]
loss: 21.7176:   4%|¨…         | 210/5000 [00:04<02:38, 30.22it/s]
loss: 26.4199:   4%|¨…         | 210/5000 [00:04<02:38, 30.22it/s]
loss: 25.6801:   4%|¨…         | 210/5000 [00:04<02:38, 30.22it/s]
loss: 26.8972:   4%|¨…         | 210/5000 [00:04<02:38, 30.22it/s]
loss: 25.1566:   4%|¨…         | 210/5000 [00:04<02:38, 30.22it/s]
loss: 23.8458:   4%|¨…         | 210/5000 [00:04<02:38, 30.22it/s]
loss: 22.2672:   4%|¨…         | 210/5000 [00:04<02:38, 30.22it/s]
loss: 22.2672:   4%|¨…         | 216/5000 [00:04<02:13, 35.93it/s]
loss: 29.6506:   4%|¨…         | 216/5000 [00:04<02:13, 35.93it/s]
loss: 22.5218:   4%|¨…         | 216/5000 [00:04<02:13, 35.93it/s]
loss: 28.8131:   4%|¨…         | 216/5000 [00:04<02:13, 35.93it/s]
loss: 27.4031:   4%|¨…         | 216/5000 [00:04<02:13, 35.93it/s]
loss: 27.4031:   4%|¨…         | 220/5000 [00:04<02:10, 36.65it/s]
loss: 26.1442:   4%|¨…         | 220/5000 [00:04<02:10, 36.65it/s]
loss: 29.2709:   4%|¨…         | 220/5000 [00:04<02:10, 36.65it/s]
loss: 21.4366:   4%|¨…         | 220/5000 [00:04<02:10, 36.65it/s]
loss: 20.7956:   4%|¨…         | 220/5000 [00:04<02:10, 36.65it/s]
loss: 20.3168:   4%|¨…         | 220/5000 [00:04<02:10, 36.65it/s]
loss: 20.3168:   4%|¨…         | 225/5000 [00:04<02:02, 38.83it/s]
loss: 22.0419:   4%|¨…         | 225/5000 [00:04<02:02, 38.83it/s]
loss: 27.1348:   4%|¨…         | 225/5000 [00:04<02:02, 38.83it/s]
loss: 131.1319:   4%|¨…         | 225/5000 [00:04<02:02, 38.83it/s]
loss: 29.7236:   4%|¨…         | 225/5000 [00:04<02:02, 38.83it/s] 
loss: 26.5938:   4%|¨…         | 225/5000 [00:04<02:02, 38.83it/s]
loss: 26.5938:   5%|¨…         | 230/5000 [00:04<01:55, 41.32it/s]
loss: 21.3144:   5%|¨…         | 230/5000 [00:04<01:55, 41.32it/s]
loss: 21.7173:   5%|¨…         | 230/5000 [00:04<01:55, 41.32it/s]
loss: 21.6925:   5%|¨…         | 230/5000 [00:04<01:55, 41.32it/s]
loss: 24.2819:   5%|¨…         | 230/5000 [00:04<01:55, 41.32it/s]
loss: 28.7308:   5%|¨…         | 230/5000 [00:04<01:55, 41.32it/s]
loss: 28.7308:   5%|¨…         | 235/5000 [00:04<01:50, 43.03it/s]
loss: 23.3597:   5%|¨…         | 235/5000 [00:04<01:50, 43.03it/s]
loss: 29.0729:   5%|¨…         | 235/5000 [00:04<01:50, 43.03it/s]
loss: 26.1700:   5%|¨…         | 235/5000 [00:04<01:50, 43.03it/s]
loss: 19.8107:   5%|¨…         | 235/5000 [00:04<01:50, 43.03it/s]
loss: 21.3950:   5%|¨…         | 235/5000 [00:04<01:50, 43.03it/s]
loss: 29.0071:   5%|¨…         | 235/5000 [00:04<01:50, 43.03it/s]
loss: 29.0071:   5%|¨…         | 241/5000 [00:04<01:40, 47.56it/s]
loss: 32.3864:   5%|¨…         | 241/5000 [00:04<01:40, 47.56it/s]
loss: 33.6180:   5%|¨…         | 241/5000 [00:04<01:40, 47.56it/s]
